"id","sectionTitle","name","instanceType","sectionNumber","text","uuid:ID"
"NarrativeContent_28","Efficacy Measures","SECTION 3.9.1.1.","NarrativeContent","3.9.1.1.","<div><p>The following measures will be performed in the course of the study. At Visits 3, 8, 10, and 12, ADAS-Cog, CIBIC+, and DAD will be administered. NPI-X will be administered at 2-week intervals either at clinic visits or via a telephone interview. Efficacy measures will also be collected at early termination visits, and at the retrieval visit. The neuropsychological assessment should be performed first; other protocol requirements, such as labs and the physical, should follow.</p>
<ol type=""a"">
<li><p><b>Alzheimer's Disease Assessment Scale - Cognitive Subscale (ADAS-Cog):</b> ADAS-Cog is an established measure of cognitive function in Alzheimer's Disease. This scale has been incorporated into this study by permission of Dr. Richard C. Mohs and the American Journal of Psychiatry and was adapted from an article entitled, “The Alzheimer's Disease Assessment Scale (ADAS),” which was published in the American Journal of Psychiatry, Volume No.141, pages 1356-1364, November, 1984, Copyright 1984.</p>
<p><b>The ADAS-Cog (11) and the ADAS-Cog (14):</b> The ADAS-Cog (11) is a standard 11-item instrument used to assess word recall, naming objects, commands, constructional praxis, ideational praxis, orientation, word recognition tasks, spoken language ability, comprehension, word finding difficulty, and recall of test instructions. For the purposes of this study, three items (delayed word recall, attention/visual search task, and maze solution) have been added to the ADAS-Cog (11) to assess the patient's attention and concentration. The 14 item instrument will be referred to as the ADAS-Cog (14). At each efficacy visit, all 14 items will be assessed, and in subsequent data analyses, performance on the ADAS-Cog (14) and performance on the subset ADAS-Cog (11) will be considered.</p></li>
<li><p><b>Video-referenced Clinician's Interview-Based Impression of Change (CIBIC+):</b> The CIBIC+ is an assessment of the global clinical status relative to baseline. The CIBIC+ used in this study is derived from the Clinical Global Impression of Change, an instrument in the public domain, developed by the National Institute on Aging Alzheimer's Disease Study Units Program (1 U01 AG10483; Leon Thal, Principal Investigator). The instrument employs semi-structured interviews with the patient and caregiver, to assess mental/cognitive state, behavior, and function. These domains are not individually scored, but rather are aggregated in the assignment of a global numeric score on a 1 to 7 scale (1 = marked improvement; 4 = no change; and 7 = marked worsening).</p>
<p>The clinician assessing CIBIC+ will have at least one year of experience with the instrument and will remain blinded to all other efficacy and safety measures.</p></li>
<li><p><b>Revised Neuropsychiatric Inventory (NPI-X):</b> The NPI-X is an assessment of change in psychopathology in patients with dementia. The NPI-X is administered to the designated caregiver. This instrument has been revised from its original version (Cummings et al. 1994) and incorporated into this study with the permission of Dr. Jeffrey L. Cummings.</p></li>
<li><p><b>Disability Assessment for Dementia (DAD):</b> The DAD is used to assess functional abilities of activities of daily living (ADL) in individuals with cognitive impairment. This scale has been revised and incorporated into this study by permission of Louise Gauthier, M.Sc., and Dr. Isabelle Gelinas. The DAD is administered to the designated caregiver.</p></li>
</ol>
<p>For each instrument, each assessment is to be performed by the same trained health care professional. If circumstances preclude meeting this requirement, the situation is to be documented on the Clinical Report Form (CRF), and the CRO research physician is to be notified.</p>
<p>In addition to the efficacy measures noted above, a survey form will be used to collect information from the caregiver on TTS acceptability (Attachment LZZT.9).</p></div>","278c4467-7e9f-4cc1-a88f-547c7f910db2"
"NarrativeContent_29","Efficacy Criteria","SECTION 3.9.1.2.","NarrativeContent","3.9.1.2.","<div><p>Group mean changes from baseline in the primary efficacy parameters will serve as efficacy criteria. The ADAS-Cog (11) and the video-referenced CIBIC+ will serve as the primary efficacy instruments. Secondary efficacy instruments will include the DAD, the NPI-X, and the ADAS-Cog (14). The procedures and types of analyses to be done are outlined in Section 4.</p>
<p>The primary analysis of efficacy will include only the data obtained up to and including the visit of discontinuation of study drug. Furthermore, the primary analysis will not include efficacy data obtained at any visit where the study drug was not administered in the preceding three days. Analyses that include the retrieved dropouts are considered secondary.</p></div>","42825a0d-3480-4448-89b0-8dabbe9910c2"
"NarrativeContent_30","Pharmacokinetics","SECTION 3.9.2.","NarrativeContent","3.9.2.","<div><p>Blood samples (7 mL) for the determination of xanomeline concentrations in plasma will be collected from each patient at Visits 3, 4, 5, 7, 9, and 11. The blood sample drawn at Visit 3 is a baseline sample. The remaining 5 clinic visits should be scheduled so that 1 blood sample is collected at any time during each of the following intervals: early AM visit (hold application of new patch until after blood sample is collected); 9AM to 11AM; 11AM to 1PM; 1PM to 3PM; and 3PM to 5PM. Collection of blood samples during each of these intervals should not occur in any particular order, nor should they occur in the same order for each patient. Every effort should be made to comply with the suggested sampling times. This blood-sampling schedule is based on a sparse sampling strategy where only a few samples will be collected from each patient. The most crucial aspect of the sampling design is to record the date and exact time the sample was drawn and to record the date and time of patch application on the day of the clinic visit and the previous 2 days.</p>
<p>If a patient is discontinued from the study prior to protocol completion, a pharmacokinetic blood sample should be drawn at the early discontinuation visit. The date and exact time the sample was drawn and the date of the last patch application should be recorded.</p>
<p>Immediately after collection, each sample will be centrifuged at approximately 177 × <i>G</i> for 15 minutes. The plasma will be transferred into a polypropylene tube bearing the identical label as the blood collection tube. Samples will be capped and frozen at approximately −20°C. Care must be taken to insure that the samples remain frozen during transit.</p>
<p>The samples will be shipped on dry ice to Central Laboratory.</p></div>","c3dec685-52f1-44a6-8e97-8451e54503cf"
"NarrativeContent_31","Safety","SECTION 3.9.3.","NarrativeContent","3.9.3.","<div><p>Investigators are responsible for monitoring the safety of patients who have entered this study and for alerting CRO to any event that seems unusual, even if this event may be considered an unanticipated benefit to the patient. See Section 3.9.3.2.1.</p>
<p>Investigators must ensure that appropriate medical care is maintained throughout the study and after the trial (for example, to follow adverse events).</p></div>","9afb2ca7-be53-40a2-8fcb-68c35a88f06d"
"NarrativeContent_32","Safety Measures","SECTION 3.9.3.1.","NarrativeContent","3.9.3.1.","<div><p>Safety measures will be performed at designated times by recording adverse events, laboratory test results, vital signs (including supine/standing pulse and blood pressure readings) ECG monitoring, and Ambulatory ECGs (see Schedule of Events, Attachment LZZT.1).</p></div>","a067cc9a-9f49-4d09-b22f-f61eedb7279f"
"NarrativeContent_33","Clinical Adverse Events","SECTION 3.9.3.2.","NarrativeContent","3.9.3.2.","<div><p>Lilly has standards for reporting adverse events that are to be followed, regardless of applicable regulatory requirements that are less stringent. For purposes of collecting and evaluating <i>all</i> information about Lilly drugs used in clinical trials, an adverse event is defined as any undesirable experience or an unanticipated benefit (see Section 3.9.3.2.1) that occurs after informed consent for the study has been obtained, without regard to treatment group assignment, even if no study medication has been taken. Lack of drug effect is not an adverse event in clinical trials, because the purpose of the clinical trial is to establish drug effect.</p>
<p>At the first visit, study site personnel will question the patient and will note the occurrence and nature of presenting condition(s) and of any preexisting condition(s). At subsequent visits, site personnel will again question the patient and will note any change in the presenting condition(s), any change in the preexisting condition(s), and/or the occurrence and nature of any adverse events.</p></div>","66fcc572-64c1-4f71-8195-62dfd9f0e492"
"NarrativeContent_34","Adverse Event Reporting Requirements","SECTION 3.9.3.2.1.","NarrativeContent","3.9.3.2.1.","<div><p>All adverse events must be reported to CRO via case report form.</p>
<p>Study site personnel must report to CRO immediately, by telephone, any <b>serious</b> adverse event (see Section 3.9.3.2.2 below), or if the investigator <b>unblinds</b> a patient's treatment group assignment because of an adverse event or for any other reason.</p>
<p>If a patient's dosage is reduced or if a patient is discontinued from the study because of any significant laboratory abnormality, inadequate response to treatment, or any other reason, the circumstances and data leading to any such dosage reduction or discontinuation must be reported and clearly documented by study site personnel on the clinical report form.</p>
<p>An event that may be considered an unanticipated benefit to the patient (for example, sleeping longer) should be reported to CRO as an adverse event on the clinical report form. “Unanticipated benefit” is a COSTART classification term. In cases where the investigator notices an unanticipated benefit to the patient, study site personnel should enter the actual term such as “sleeping longer,” and code “unanticipated benefit” in the clinical report form adverse event section.</p>
<p>Solicited adverse events from the skin rash questionnaire (see Section 3.9.3.4) should be reported on the questionnaire only and not also on the adverse event clinical report form</p></div>","7e8653bc-b96d-4410-9876-3a401ab2f12b"
"NarrativeContent_35","Serious Adverse Events","SECTION 3.9.3.2.2.","NarrativeContent","3.9.3.2.2.","<div><p>Study site personnel must report to CRO immediately, by telephone, any adverse event from this study that is alarming or that:</p>
<ul>
<li><p>Results in death</p></li>
<li><p>Results in initial or prolonged inpatient hospitalization</p></li>
<li><p>Is life-threatening</p></li>
<li><p>Results in severe or permanent disability</p></li>
<li><p>Results in cancer [(other than cancers diagnosed prior to enrollment in studies involving patients with cancer)]</p></li>
<li><p>Results in a congenital anomaly</p></li>
<li><p>Is a drug overdose</p></li>
<li><p>Is significant for any other reason.</p></li>
</ul>
<p>Definition of <i>overdose</i>: For a drug under clinical investigation, an overdose is any intentional or unintentional consumption of the drug (by any route) that exceeds the dose recommended in the Clinical Investigator's Brochure or in an investigational protocol, whichever dose is larger. For a marketed drug, a drug overdose is any intentional or unintentional consumption of the drug (by any route) that exceeds the dose listed in product labeling, even if the larger dose is prescribed by a physician.</p></div>","0bc3a7d9-9e55-4410-9491-77c28d744ac5"
"NarrativeContent_36","Clinical Laboratory Tests","SECTION 3.9.3.3.","NarrativeContent","3.9.3.3.","<div><p>Table LZZT.1 lists the clinical laboratory tests that will be performed at Visit 1.</p>
<p><b>Table LZZT.1. Laboratory Tests Performed at Admission (Visit 1)</b></p>
<style>
  ul.no-bullets {
    list-style-type: none;
    margin: 0;
    padding: 5;
  }
</style>
<p><b>Safety Laboratory Tests</b></p>
<table class=""table"">
<tr>
<td>
<p><b>Hematology:</b></p>
<p><ul class=""no-bullets"">
<li>Hemoglobin</li>
<li>Hematocrit</li>
<li>Erythrocyte count (RBC)</li>
<li>Mean cell volume (MCV)</li>
<li>Mean cell hemoglobin (MCH) </li>
<li>Mean cell hemoglobin concentration (MCHC) </li>
<li>Leukocytes (WBC)</li>
<li>Neutrophils, segmented </li>
<li>Neutrophils, juvenile (bands)</li>
<li>Lymphocytes </li>
<li>Monocytes </li>
<li>Eosinophils </li>
<li>Basophils </li>
<li>Platelet </li>
<li>Cell morphology</li>
</ul></p>
<p><b>Urinalysis:</b></p>
<p><ul class=""no-bullets"">
<li>Color </li>
<li>Specific gravity</li>
<li>pH</li>
<li>Protein</li>
<li>Glucose</li>
<li>Ketones</li>
<li>Bilirubin</li>
<li>Urobilinogen</li>
<li>Blood </li>
<li>Nitrite</li>
<li>Microscopic examination of sediment</li>
</ul></p>
</td>
<td>
<p><b>Clinical Chemistry - Serum Concentration of:</b></p>
<p><ul class=""no-bullets"">
<li>Sodium</li>
<li>Potassium</li>
<li>Bicarbonate</li>
<li>Total bilirubin </li>
<li>Alkaline phosphatase (ALP) </li>
<li>Gamma-glutamyl transferase (GGT) </li>
<li>Alanine transaminase (ALT/SGPT) </li>
<li>Aspartate transaminase (AST/SGOT) </li>
<li>Blood urea nitrogen (BUN) </li>
<li>Serum creatinine </li>
<li>Uric acid </li>
<li>Phosphorus </li>
<li>Calcium </li>
<li>Glucose, nonfasting </li>
<li>Total protein </li>
<li>Albumin </li>
<li>Cholesterol </li>
<li>Creatine kinase (CK)</li>
</ul></p>
<p><b>Thyroid Function Test (Visit 1 only):</b></p>
<ul class=""no-bullets"">
<li>Free thyroid index</li>
<li>T<sub>3</sub> Uptake</li>
<li>T<sub>4</sub></li>
<li>Thyroid-stimulating hormone (TSH)</li>
</ul>
<p><b>Other Tests (Visit 1 only):</b></p>
<ul class=""no-bullets"">
<li>Folate</li>
<li>Vitamin B 12</li>
<li>Syphilis screening</li>
<li>Hemoglobin A<sup>1C</sup> (IDDM patients only)</li></ul>
</td>
</tr>
</table>
<p>Laboratory values that fall outside a clinically accepted reference range or values that differ significantly from previous values must be evaluated and commented on by the investigator by marking CS (for clinically significant) or NCS (for not clinically significant) next to the values. Any clinically significant laboratory values that are outside a clinically acceptable range or differ importantly from a previous value should be further commented on in the clinical report form comments page.</p>
<p>Hematology, and clinical chemistry will also be performed at Visits 4, 5, 7, 8, 9, 10, 11, 12, and 13. Patients that experience a rash and/or eosinophilia may have additional hematology samples obtained as described in 3.9.3.4 (Other Safety Measures).</p>
<p>Urinalysis will also be performed at Visits 4, 9, and 12. The following criteria have been developed to monitor hepatic function.</p>
<ul>
<li><p>Patients with ALT/SGPT levels &gt;120 IU will be retested weekly.</p>
<li><p>Patients with ALT/SGPT values &gt;400 IU, or alternatively, an elevated ALT/SGPT accompanied by GGT and/or ALP values &gt;500 IU will be retested within 2 days. The sponsor's clinical research administrator or clinical research physician is to be notified. If the retest value does not decrease by at least 10%, the study drug will be discontinued; additional laboratory tests will be performed until levels return to normal. If the retest value does decrease by 10% or more, the study drug may be continued with monitoring at 3 day intervals until ALT/SGPT values decrease to &lt;400 IU or GGT and/or ALP values decrease to &lt;500 IU. 
</p></li></li></ul></div>","6ab24a16-215e-4c37-81bc-3eb41284a65c"
"NarrativeContent_37","Other Safety Measures","SECTION 3.9.3.4","NarrativeContent","3.9.3.4","<div><b>Patients experiencing Rash and/or Eosinophilia</b>
<p>The administration of placebo and xanomeline TTS is associated with a rash and/or eosinophilia in some patients. The rash is characterized in the following ways:</p>
<ul>
<li><p>The rash is confined to sites of application.</p></li>
<li><p>The rash may be associated with pruritus.</p></li>
<li><p>In 5% of cases of rash observed in the Interim Analysis, blistering has been observed.</p></li>
<li><p>The onset of rash may occur at any time during the course of the study.</p></li>
<li><p>A moderate eosinophilia (0.6-1.5 x 103 /microliter) is associated with rash and has been noted in approximately 10% of patients.</p></li>
</ul>
<p>It does not appear that the rash constitutes a significant safety risk; however, it could affect the well-being of the patients. The following monitoring is specified:</p>
<p><b>Skin Rash Follow-up</b></p>
<p>For patients who exit the study or its extension with rash at the site(s) of application:</p>
<ol type=""a"">
<li><p>Approximately 2 weeks after the last visit, the study site personnel should contact the patient/caregiver by phone and complete the skin rash questionnaire. (Note: those patients with rash who have previously exited the study or its extension should be contacted at earliest convenience.)</p></li>
<li><p>If caregiver states unequivocally that skin problems have completely resolved, no further follow-up is needed.</p></li>
<li><p>If caregiver reports scarring and/or other problems, patient should return to clinic for a follow-up visit. The skin rash questionnaire should again be completed. If in the opinion of the investigator, further follow-up is required, contact the CRO medical monitor. Completed skin rash questionnaires should be faxed to CRO.</p></li>
</ol>
<p>Completion of the questionnaires will create a separate data set for solicited adverse events. In completing these forms please note the following:</p>
<ol>
<li><p>Solicited events (events discovered as result of completion of follow-up questionnaires) should be reported on questionnaire page only.</p></li>
<li><p>Spontaneously reported adverse events (events presented by the patient without direct questioning of the event) should be reported as described in 3.9.3.2 .1 (Adverse Event Reporting Requirements).</p></li>
</ol>
<p>Serious adverse events should be handled and reported as described in 3.9.3.2.1 without regard to whether the event is solicited or spontaneously reported.</p>
<p><b>Eosinophilia Follow-up</b></p>
<ol>
<li><p>For patients that are currently in the study with eosinophil counts greater than 0. 6x10 3 /microliter:</p>
<ul><li><p>Repeat hematology at each visit until resolved in the opinion of the investigator.</p></li></ul>
<li><p>For patients that are currently in the study with eosinophil counts greater than 1.5x10 3 /microliter:</p>
<ul><li><p>Obtain hematology profile every 2 weeks until resolved or explained by other causes in the opinion of the investigator.</p></li>
<li><p>Notify CRO medical monitor.</p></li>
</ul>
<li><p>For patients with eosinophil counts greater than 0.6x10 3 /microliter at exit 
from the study or its extension:</p>
<ul>
<li><p>Obtain hematology profile approximately every 2 weeks until resolved or, in the opinion of the investigator, explained by other causes. (Note: patients with eosinophil counts greater than 0.6x10 3 /microliter who have previously exited the study or its extension should return for hematology profile at earliest convenience.)</p></li>
</ul>
<ol></ol></li></li></li></ol></div>","9a144234-101e-4fcc-9455-5046306f6aee"
"NarrativeContent_38","Vital Sign Determination","SECTION 3.9.3.4.1","NarrativeContent","3.9.3.4.1","<div><p>Patient should lie supine quietly for at least 5 minutes prior to vital signs measurement. Blood pressure should be measured in the dominant arm with a standardized mercury manometer according to the American Heart Association standard recommendations. Diastolic blood pressure will be measured as the point of disappearance of the Korotkoff sounds (phase V). Heart rate will be measured by auscultation. Patient should then stand up. Blood pressure should again be measured in the dominant arm and heart rate should be measured after approximately 1 and 3 minutes.</p>
<p>An automated blood pressure cuff may be used in place of a mercury manometer if it is regularly (at least monthly) standardized against a mercury manometer.</p></div>","b9cad887-b5f7-4be0-ae1f-3956a1d920e2"
"NarrativeContent_39","Cardiovascular Safety Measures","SECTION 3.9.3.4.2","NarrativeContent","3.9.3.4.2","<div><p>Cardiovascular status will be assessed during the trial with the following measures:</p>
<ul>
<li><p>All patients will be screened by obtaining a 12-lead ECG, and will have repeat ECGs performed at Visits 4, 5, 7, 8, 9, 10, 11, 12, 13, and early termination (ET) (see Schedule of Events, Attachment LZZT.1).</p></li>
<li><p>All patients will undergo a 24-hour Ambulatory ECG at Visit 2 (prior to the initiation of study medication). Although every effort will be made to obtain the entire 24-hour ambulatory ECG recording, this may not always be feasible because of patient behavior or technical difficulties. The minimal recording period for an ambulatory ECG to be considered interpretable will be 8 hours, of which at least 3 hours must be sleep.</p></li>
<li><p>The incidence of syncope, defined as an observed loss of consciousness and muscle tone not attributable to transient ischemic attack or to seizure, will be closely monitored. Caregivers will be instructed to report any instance of syncopal episodes to the investigator within 24 hours. The investigator should immediately report such events to the CRO research physician. The CRO research physician will make a clinical assessment of each episode, and with the investigator determine if continuation of 
therapy is appropriate. These findings will be reported to the Lilly research physician immediately.</p></li>
<ul></ul></ul></div>","11464391-25ee-4c4f-a5f4-6f5edf5fcdf1"
"NarrativeContent_40","Safety Monitoring","SECTION 3.9.4.","NarrativeContent","3.9.4.","<div><p>The CRO research physician will monitor safety data throughout the course of the study.</p>
<p>Cardiovascular measures, including ECGs and 24-hour Ambulatory ECGs (see Section 3.9.3.4.2) will be monitored on an ongoing basis as follows:</p>
<ul>
<li><p>As noted in Section 3.9.3.4.2, all patients will be screened by obtaining a 12-lead ECG, and will have repeat ECGs performed at Visits 4, 5, 7, 8, 9, 10, 11, 12, 13, and early termination (ET) (see Schedule of Events for Protocol H2Q-MC-LZZT(c), Attachment LZZT.1). ECG data will be interpreted at the site and express mailed overnight to a central facility which will produce a report within 48 hours. The report will be forwarded to the investigator. At screening, the report of the central facility will be used to exclude patients according to criteria specified in Section 3.4.2.2. If, during the treatment phase of the study, review of ECG data (either at the site or at the central facility) reveals left bundle branch block, bradycardia ≤50 beats per minute, sinus pauses &gt;2 seconds, second degree heart block, third degree heart block, Wolff-Parkinson-White syndrome, sustained supraventricular tachyarrhythmia, or ventricular tachycardia at a rate of ≥120 beats per minute lasting ≥10 seconds, the investigator, the Lilly research physician, the CRO research physician, and the cardiologist chairing the DSMB will be notified immediately, and discontinuation of the patient will be considered.</p></li>
<li><p>As noted in Section 3.9.3.4.2, all patients will undergo a 24-hour Ambulatory ECG at Visit 2 (prior to the initiation of study medication).  Ambulatory ECG data from Visit 2 will be express mailed overnight to a central facility which will produce a report within 24 hours. The report will be forwarded to the investigator. If a report documents sustained ventricular tachycardia with rate &gt;120 beats per minute, third degree heart block, or sinus pauses of &gt;6.0 seconds, the investigator, the Lilly research 
physician, the CRO research physician, and the cardiologist chairing the DSMB will be notified immediately, and the patient will be discontinued. If any report documents sinus pauses of &gt;3.0 seconds or second degree heart block, the CRO research physician, and Lilly research physician, and cardiologist chairing the DSMB will be immediately notified and the record will be reviewed within 24 hours of notification by the cardiologist chairing the DSMB.</p></li>
</ul>
<p>In addition to ongoing monitoring of cardiac measures, a comprehensive, periodic review of cardiovascular safety data will be conducted by the DSMB, which will be chaired by an external cardiologist with expertise in arrhythmias, their pharmacological bases, and their clinical implications. The membership of the board will also include two other external cardiologists, a cardiologist from Lilly, a statistician from Lilly, and the Lilly research physician. Only the three external cardiologists will be voting members.</p>
<p>After approximately 75 patients have completed 1 month of treatment, the DSMB will meet to decide:</p>
<ul>
<li><p>If discontinuation of the study or any treatment arm is appropriate</p></li>
<li><p>If additional cardiovascular monitoring is required</p></li>
<li><p>If further cardiovascular monitoring is unnecessary</p></li>
<li><p>If adjustment of dose within a treatment arm (or arms) is appropriate.</p></li>
</ul>
<p>If necessary, this analysis will be repeated after 150 patients have completed 1 month of treatment, after 225 patients have completed 1 month of treatment, and after 300 patients have completed 1 month of treatment. Primary consideration will be given to the frequency of pauses documented in Ambulatory ECG reports. The number of pauses greater than or equal to 2, 3, 4, 5, and 6 seconds will be tabulated. Primary analysis will focus on the number of pauses greater than or equal to 3 seconds.</p>
<p>In the event of a high incidence of patient discontinuation due to syncope, the following guideline may be employed by the DSMB in determining if discontinuation of any treatment arm is appropriate. If the frequency of syncope in a xanomeline treatment arm relative to the frequency of syncope in the placebo arm equals or exceeds the following numbers, then consideration will be given to discontinuing that treatment arm. The Type I error rate for this rule is approximately 0.032 if the incidence in each group is 0.04. The power of this rule is 0.708 if the incidence is 0.04 for placebo and 0.16 for xanomeline TTS.</p>
<table class=""table table-bordered"">
<tr><td><p>Placebo</p></td><td><p>Xanomeline</p></td><td></td><td>Placebo</td><td>Xanomeline</td></tr>
<tr><td><p>0</p></td><td><p>6</p></td><td></td><td>6</td><td>15</td></tr>
<tr><td><p>1</p></td><td><p>7</p></td><td></td><td>7</td><td>16</td></tr>
<tr><td><p>2</p></td><td><p>9</p></td><td></td><td>8</td><td>17</td></tr>
<tr><td><p>3</p></td><td><p>11</p></td><td></td><td>9</td><td>18</td></tr>
<tr><td><p>4</p></td><td><p>12</p></td><td></td><td>10</td><td>20</td></tr>
<tr><td><p>5</p></td><td><p>13</p></td><td></td><td>X</td><td>2X (2-fold)</td></tr>
</table>
<p>This rule has been used in other studies for monitoring spontaneous events with an incidence of less than 10%. This rule is constructed assuming a 2-group comparison with each group having a final sample size of 100. Unblinding which occurs during these analyses will be at the group level and will be documented.</p>
<p>The stopping rule based on Ambulatory ECG findings is as follows:</p>
<style type=""text/css"">
 .indent { margin-left: 20px; }
</style>
<p class=""indent"">If the number of patients experiencing a pause of ≥6 seconds in a xanomeline treatment arm relative to the number of patients in the placebo arm equals or exceeds the numbers in the following table, then that treatment arm will be discontinued. The Type I error rate for this rule is approximately 0.044 if the incidence in each group is 0.01. The power of this rule is 0.500 if the incidence is 0.01 for placebo and 0.04 for xanomeline TTS.</p>
<table class=""table table-bordered"">
<tr><td><p>Placebo</p></td><td><p>Xanomeline</p></td></tr>
<tr><td><p>0</p></td><td><p>3</p></td></tr>
<tr><td><p>1</p></td><td><p>5</p></td></tr>
<tr><td><p>2</p></td><td><p>6</p></td></tr>
<tr><td><p>3</p></td><td><p>7</p></td></tr>
<tr><td><p>4</p></td><td><p>8</p></td></tr>
<tr><td><p>x</p></td><td><p>2x</p></td></tr>
</table></div>","9df1dba9-3e9c-4949-aad9-a7784e84bda8"
"NarrativeContent_41","Appropriateness and Consistency of Measurements","SECTION 3.9.5.","NarrativeContent","3.9.5.","<div><p>The medications and efficacy measurements have been used in other studies in elderly subjects and patients.</p></div>","5b3b3316-3657-41a5-bfa8-816cc8d7da64"
"NarrativeContent_42","Patient Disposition Criteria","SECTION 3.10.","NarrativeContent","3.10.","<div></div>","fcefc8cb-3a16-4418-9285-e2a7a44ee8f5"
"NarrativeContent_43","Discontinuations","SECTION 3.10.1.","NarrativeContent","3.10.1.","<div><p>Participation in the study shall be terminated for any patient who is unable or unwilling to comply with the study protocol or who develops a serious adverse event.</p>
<p>In addition, patients may be discontinued for any of the following reasons:</p>
<ul>
<li><p>In the opinion of the investigator, a significant adverse event occurs or the 
safety of the patient is otherwise compromised.</p></li>
<li><p>The patient requests to be withdrawn from the study.</p></li>
<li><p>The physician in charge of the study or Lilly, for any reason stops the 
patient's participation in the study.</p></li>
</ul>
<p>If a patient's participation terminates early, an early termination visit should be scheduled. Upon decision to discontinue a patient from the study, the patient's dose should be titrated down by instructing the patient to immediately remove the 25-cm2 patch. Patients should be instructed to continue to apply a 50-cm2 patch daily until the early termination visit, at which time the drug will be discontinued. Physical exam, vital signs, temperature, use of concomitant medications, chemistry/hematology/urinalysis labs, xanomeline plasma sample, TTS acceptability survey, efficacy measures, adverse events, and an ECG will be collected at the early termination visit.</p>
<p>In the event that a patient's participation or the study itself is terminated, the patient shall return all study drug(s) to the investigator.</p></div>","654b0720-c645-4190-ba3a-d52d8fd5fbe8"
"NarrativeContent_44","Retrieval of Discontinuations","SECTION 3.10.1.1.","NarrativeContent","3.10.1.1.","<div><p>If possible, patients who have terminated early will be retrieved on the date which would have represented Visit 12 (Week 24). Vital signs, temperature, use of concomitant medications, adverse events, and efficacy measure assessment will be gathered at this visit. If the patient is not retrievable, this will be documented in the source record.</p></div>","e2b6a08f-922b-46fd-8127-929402a2435c"
"NarrativeContent_45","Qualifications for Analysis","SECTION 3.10.2.","NarrativeContent","3.10.2.","<div><p>All patients who are enrolled in the study will be included in the efficacy analysis and the safety analysis. Patients will not be excluded from the efficacy analysis for reasons such as non-compliance or ineligibility, except for the time period immediately preceding the efficacy assessment (see Section 3.9.1.2).</p></div>","3f6f0117-6ca9-41bf-8ea3-24e1276b8e56"
"NarrativeContent_46","Study Extensions","SECTION 3.10.3.","NarrativeContent","3.10.3.","<div><p>Patients who successfully complete the study will be eligible for participation in an openlabel extension phase, where every patient will be treated with active agent. The patients who elect to participate in the open-label extension phase will be titrated to their maximally titrated dose. This open-label extension phase will continue until the time the product becomes marketed and is available to the public or until the project is discontinued by the sponsor. Patients may terminate at any time at their request.</p></div>","b76925e7-3ca8-47fb-b177-c6b74ab089a9"
"NarrativeContent_47","Compliance","SECTION 3.10.3.1.","NarrativeContent","3.10.3.1.","<div><p>Because patients enrolled in this study will be outpatients, the knowledge that patients have taken the medication as prescribed will be assured in the following ways:</p>
<ol type=""a"">
<li><p>Investigators will attempt to select those patients and caregivers who 
have been judged to be compliant.</p></li>
<li><p>Study medication including unused, partially used, and empty patch 
containers will be returned at each clinical visit so that the remaining 
medication can be counted by authorized investigator staff (nurse, 
pharmacist, or physician). The number of patches remaining will be 
recorded on the CRF.</p></li>
<li><p>Following randomization at Visit 3, patients will be instructed to call 
the site if they have difficulty with application or wearing of patches. If 
daily doses are reduced, improperly administered, or if a patch becomes 
detached and requires application of a new patch on three or more days 
in any 30-day period, the CRO research physician will be notified.</p></li>
</ol>
<p>If the daily dose is reduced or improperly administered in the 24 hours prior to any scheduled clinic visit, the visit should be rescheduled (except for early termination and retrieval visits).</p></div>","b3b60a28-d913-4553-9aec-f42665625185"
"NarrativeContent_48","Quality Assurance","SECTION 3.11.","NarrativeContent","3.11.","<div><p>To ensure both the safety of participants in the study, and the collection of accurate, complete, and reliable data, Lilly or its representatives will perform the following activities:</p>
<ul>
<li><p>Provide instructional material to the study sites, as appropriate.</p></li>
<li><p>Sponsor a start-up training session to instruct the investigators and study 
coordinators. This session will give instruction on the protocol, the 
completion of the clinical report forms, and study procedures.</p></li>
<li><p>Make periodic visits to the study site.</p></li>
<li><p>Be available for consultation and stay in contact with the study site 
personnel by mail, telephone, and/or fax.</p></li>
<li><p>Review and evaluate clinical report form data and use standard computer 
edits to detect errors in data collection.</p></li>
</ul>
<p>To ensure the safety of participants in the study and to ensure accurate, complete, and reliable data, the investigator will do the following:</p>
<ul>
<li><p>Keep records of laboratory tests, clinical notes, and patient medical records in the patient files as original source documents for the study.</p></li>
</ul>
<p>Lilly or its representatives may periodically check a sample of the patient data recorded against source documents at the study site. The study may be audited by Lilly Medical Quality Assurance (MQA) and/or regulatory agencies at any time. Investigators will be given notice before an MQA audit occurs.</p></div>","1f2c30c5-e648-43c3-8822-07929464bcf6"
"NarrativeContent_49","Data Analysis Methods","SECTION 4","NarrativeContent","4","<div></div>","9f3d04c4-7a6d-4a23-94f3-b3cbcf611a07"
